2025-02-19 14:19:38,375 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2025-02-19 14:19:40,181 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2025-02-19 14:19:45,710 INFO  ExportPropertyManager.cs: 422 - Configuration saved
2025-02-19 14:19:46,153 INFO  ExportHelperExtension.cs: 347 - Creating joint arm_link1
2025-02-19 14:19:46,413 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent base_link to child arm_link1 failed
2025-02-19 14:19:46,444 INFO  ExportHelperExtension.cs: 347 - Creating joint arm_link2
2025-02-19 14:19:46,467 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent arm_link1 to child arm_link2 failed
2025-02-19 14:19:46,977 INFO  ExportHelperExtension.cs: 347 - Creating joint arm_link3
2025-02-19 14:19:46,998 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent arm_link2 to child arm_link3 failed
2025-02-19 14:19:47,360 INFO  ExportHelperExtension.cs: 347 - Creating joint arm_link4
2025-02-19 14:19:47,380 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent arm_link3 to child arm_link4 failed
2025-02-19 14:19:47,411 INFO  ExportHelperExtension.cs: 347 - Creating joint arm_link5
2025-02-19 14:19:47,431 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent arm_link4 to child arm_link5 failed
2025-02-19 14:19:47,511 INFO  ExportHelperExtension.cs: 347 - Creating joint arm_link6
2025-02-19 14:19:47,529 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent arm_link5 to child arm_link6 failed
2025-02-19 14:19:47,555 INFO  ExportHelperExtension.cs: 347 - Creating joint gripper_link
2025-02-19 14:19:47,555 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent arm_link6 to child gripper_link failed
2025-02-19 14:19:47,635 INFO  ExportHelperExtension.cs: 347 - Creating joint gripper_finger_link1
2025-02-19 14:19:47,653 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent gripper_link to child gripper_finger_link1 failed
2025-02-19 14:19:47,877 INFO  ExportHelperExtension.cs: 347 - Creating joint gripper_finger_link2
2025-02-19 14:19:47,895 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent gripper_link to child gripper_finger_link2 failed
2025-02-19 14:19:48,223 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from A1Y_EVT3_URDF_20240210
2025-02-19 14:19:48,228 INFO  ExportHelperExtension.cs: 1136 - Found 47 in A1Y_EVT3_URDF_20240210
2025-02-19 14:19:48,228 INFO  ExportHelperExtension.cs: 1145 - Found 10 features of type [CoordSys] in A1Y_EVT3_URDF_20240210
2025-02-19 14:19:48,236 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2025-02-19 14:19:48,252 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2025-02-19 14:19:48,253 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from A1Y_EVT3_URDF_20240210.stp-1
2025-02-19 14:19:48,253 INFO  ExportHelperExtension.cs: 1136 - Found 16 in A1Y_EVT3_URDF_20240210.stp-1
