Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,3E-06,-4.871E-05,0.03017045,0,0,0,1.02443598,0.00175236,-1E-08,3E-08,0.00088755,1.98E-06,0.00159613,0,0,0,0,0,0,package://A1Z_nogripper/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://A1Z_nogripper/meshes/base_link.STL,,base_link-4,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
arm_link1,0.0051248,0.00352265,0.01887119,0,0,0,0.10959668,0.00015534,-3.05E-06,-1.22E-05,4.537E-05,-5.9E-06,0.000148,0,0,0,0,0,0,package://A1Z_nogripper/meshes/arm_link1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://A1Z_nogripper/meshes/arm_link1.STL,,arm_link1-5,坐标系1,J1,arm_joint1,revolute,0,0,0.075,0,0,0,base_link,0,0,-1,0,0,-2.094,2.094,,,,,,,,
arm_link2,-0.1316067,-0.00021276,2.29E-06,0,0,0,1.63304631,0.00097959,6.844E-05,-6.9E-07,0.02376811,4E-08,0.02397316,0,0,0,0,0,0,package://A1Z_nogripper/meshes/arm_link2.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://A1Z_nogripper/meshes/arm_link2.STL,,arm_link2-5,坐标系2,J2,arm_joint2,revolute,0.02,0,0.043,0,0,0,arm_link1,0,1,0,0,0,0,3.142,,,,,,,,
arm_link3,0.16216028,-6.8E-06,0.05497523,0,0,0,0.93954481,0.0006646,-5.769E-05,-0.00070446,0.00871203,-1.192E-05,0.00879503,0,0,0,0,0,0,package://A1Z_nogripper/meshes/arm_link3.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://A1Z_nogripper/meshes/arm_link3.STL,,arm_link3-5,坐标系3,J3,arm_joint3,revolute,-0.264,0,0,0,0,0,arm_link2,0,1,0,0,0,0,3.142,,,,,,,,
arm_link4,0.03970651,0.00298658,0.03093312,0,0,0,0.17709874,0.00025509,1.994E-05,-9.986E-05,0.00027975,1.559E-05,0.00029767,0,0,0,0,0,0,package://A1Z_nogripper/meshes/arm_link4.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://A1Z_nogripper/meshes/arm_link4.STL,,arm_link4-5,坐标系4,J4,arm_joint4,revolute,0.245,0,0.06,0,0,0,arm_link3,0,-1,0,0,0,-1.309,1.309,,,,,,,,
arm_link5,-0.00366248,-2.724E-05,-0.03904971,0,0,0,0.36875049,0.00010146,-7E-08,5.55E-06,0.00011993,0,8.271E-05,0,0,0,0,0,0,package://A1Z_nogripper/meshes/arm_link5.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://A1Z_nogripper/meshes/arm_link5.STL,,arm_link5-5,坐标系5,J5,arm_joint5,revolute,0.074,0,0.042,0,0,0,arm_link4,0,0,1,0,0,-1.484,1.484,,,,,,,,
arm_link6,0.05514353,-2.867E-05,-0.00013152,0,0,0,0.42335647,0.00028807,-6.5E-07,-2.8E-06,0.00050989,1.432E-05,0.00062848,0,0,0,0,0,0,package://A1Z_nogripper/meshes/arm_link6.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://A1Z_nogripper/meshes/arm_link6.STL,,arm_link6-1,坐标系6,J6,arm_joint6,revolute,0.0235,0,-0.042,0,0,0,arm_link5,-1,0,0,0,0,-2.007,2.007,,,,,,,,
